Year,GDP(MYR million),Sector
2017,34517,"Non-metallic mineral products, base metals and fabricated metal products"
2017,81217,"Electrical, electronic and optical products"
2017,31942,"Transportation equipment, other manufacturing and repair"
2017,32525,Buildings
2017,20253,Civil engineering
2017,10743,Specialised construction activities
2017,154721,"Utilities, transportation & storage and information & communication"
2017,251632,"Wholesale and retail trade, food & beverage and accommodation"
2017,143664,"Finance and insurance, real estate and business services"
2017,63648,Other services
2017,109694,Government services
2018,65842,Crops
2018,14584,Livestock
2018,6986,Forestry and logging
2018,12225,Fishing
2018,45430,Crude oil and condensate
2018,49322,Natural gas 
2018,8806,Other mining & quarrying and supporting services
2018,38287,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2018,5926,"Textiles, clothing and leather products"
2018,15809,"Wood products, furniture, paper products and printing"
2018,88418,"Petroleum, chemical, rubber and plastic products"
2018,36224,"Non-metallic mineral products, base metals and fabricated metal products"
2018,86317,"Electrical, electronic and optical products"
2018,33859,"Transportation equipment, other manufacturing and repair"
2018,31160,Buildings
2018,23354,Civil engineering
2018,11681,Specialised construction activities
2018,165427,"Utilities, transportation & storage and information & communication"
2018,272668,"Wholesale and retail trade, food & beverage and accommodation"
2018,152834,"Finance and insurance, real estate and business services"
2018,67170,Other services
2018,114891,Government services
2019,67610,Crops
2019,15459,Livestock
2019,6382,Forestry and logging
2019,12122,Fishing
2019,42460,Crude oil and condensate
2019,50643,Natural gas 
2019,9784,Other mining & quarrying and supporting services
2019,39629,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2019,6252,"Textiles, clothing and leather products"
2019,16545,"Wood products, furniture, paper products and printing"
2019,90982,"Petroleum, chemical, rubber and plastic products"
2019,37716,"Non-metallic mineral products, base metals and fabricated metal products"
2019,89133,"Electrical, electronic and optical products"
2019,36027,"Transportation equipment, other manufacturing and repair"
2019,29540,Buildings
2019,24823,Civil engineering
2019,12089,Specialised construction activities
2019,176184,"Utilities, transportation & storage and information & communication"
2019,292526,"Wholesale and retail trade, food & beverage and accommodation"
2019,162121,"Finance and insurance, real estate and business services"
2019,70943,Other services
2019,118804,Government services
2020,66681,Crops
2020,16002,Livestock
2020,5140,Forestry and logging
2020,11286,Fishing
2020,38430,Crude oil and condensate
2020,45896,Natural gas 
2020,8554,Other mining & quarrying and supporting services
2020,38590,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2020,5444,"Textiles, clothing and leather products"
2020,15289,"Wood products, furniture, paper products and printing"
2020,90084,"Petroleum, chemical, rubber and plastic products"
2020,32797,"Non-metallic mineral products, base metals and fabricated metal products"
2020,91362,"Electrical, electronic and optical products"
2020,34040,"Transportation equipment, other manufacturing and repair"
2020,24764,Buildings
2020,17836,Civil engineering
2020,11015,Specialised construction activities
2020,169232,"Utilities, transportation & storage and information & communication"
2020,265100,"Wholesale and retail trade, food & beverage and accommodation"
2020,154867,"Finance and insurance, real estate and business services"
2020,63796,Other services
2020,124699,Government services
2021,65857,Crops
2021,16495,Livestock
2021,5241,Forestry and logging
2021,11250,Fishing
2021,36410,Crude oil and condensate
2021,49166,Natural gas 
2021,8142,Other mining & quarrying and supporting services
2021,39272,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2021,5837,"Textiles, clothing and leather products"
2021,16728,"Wood products, furniture, paper products and printing"
2021,101787,"Petroleum, chemical, rubber and plastic products"
2021,34101,"Non-metallic mineral products, base metals and fabricated metal products"
2021,104745,"Electrical, electronic and optical products"
2021,34253,"Transportation equipment, other manufacturing and repair"
2021,22958,Buildings
2021,14590,Civil engineering
2021,13291,Specialised construction activities
2021,176224,"Utilities, transportation & storage and information & communication"
2021,266308,"Wholesale and retail trade, food & beverage and accommodation"
2021,159192,"Finance and insurance, real estate and business services"
2021,61910,Other services
2021,131482,Government services
2022,66678,Crops
2022,16579,Livestock
2022,5271,Forestry and logging
2022,11555,Fishing
2022,36283,Crude oil and condensate
2022,51748,Natural gas 
2022,8969,Other mining & quarrying and supporting services
2022,41917,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2022,6171,"Textiles, clothing and leather products"
2022,17889,"Wood products, furniture, paper products and printing"
2022,102892,"Petroleum, chemical, rubber and plastic products"
2022,36689,"Non-metallic mineral products, base metals and fabricated metal products"
2022,119614,"Electrical, electronic and optical products"
2022,38950,"Transportation equipment, other manufacturing and repair"
2022,24824,Buildings
2022,14452,Civil engineering
2022,14151,Specialised construction activities
2022,194789,"Utilities, transportation & storage and information & communication"
2022,309740,"Wholesale and retail trade, food & beverage and accommodation"
2022,172189,"Finance and insurance, real estate and business services"
2022,68570,Other services
2022,137435,Government services
2023,67704,Crops
2023,16701,Livestock
2023,4799,Forestry and logging
2023,11608,Fishing
2023,36155,Crude oil and condensate
2023,52063,Natural gas 
2023,9295,Other mining & quarrying and supporting services
2023,44150,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2023,6244,"Textiles, clothing and leather products"
2023,18035,"Wood products, furniture, paper products and printing"
2023,102067,"Petroleum, chemical, rubber and plastic products"
2023,38585,"Non-metallic mineral products, base metals and fabricated metal products"
2023,117708,"Electrical, electronic and optical products"
2023,39905,"Transportation equipment, other manufacturing and repair"
2023,25033,Buildings
2023,16548,Civil engineering
2023,15077,Specialised construction activities
2023,207021,"Utilities, transportation & storage and information & communication"
2023,328677,"Wholesale and retail trade, food & beverage and accommodation"
2023,175453,"Finance and insurance, real estate and business services"
2023,72886,Other services
2023,143868,Government services
